InteractionType;RuleLeft;RuleRight;NumPairs;DurationMillis
C;removeLink;modifyLinkWeight;1;313
C;removeLink;activateLink;1;938
C;removeLink;inactivateLink;2;846
C;removeLink;handleLinkRemoval1;5;890
C;removeLink;handleLinkRemoval2;2;719
C;addLink;removeLink;0;78
C;addLink;addLink;5;770
C;addLink;addNode;0;96
C;addLink;removeNode;2;1753
C;addLink;modifyLinkWeight;0;110
C;addLink;activateLink;0;6614
C;addLink;inactivateLink;0;141
C;addLink;handleLinkRemoval1;0;7050
C;addLink;handleLinkRemoval2;0;6869
C;addNode;removeLink;0;149
C;addNode;addLink;0;112
C;addNode;addNode;0;192
C;addNode;removeNode;0;75
C;addNode;modifyLinkWeight;0;94
C;addNode;activateLink;0;181
C;addNode;inactivateLink;0;76
C;addNode;handleLinkRemoval1;0;249
C;addNode;handleLinkRemoval2;0;233
C;removeNode;removeLink;0;140
C;removeNode;addLink;2;197
C;removeNode;addNode;0;112
C;removeNode;removeNode;0;187
C;removeNode;modifyLinkWeight;0;162
C;removeNode;activateLink;0;136
C;removeNode;inactivateLink;0;189
C;removeNode;handleLinkRemoval1;0;153
C;removeNode;handleLinkRemoval2;0;208
C;modifyLinkWeight;removeLink;0;2155
C;modifyLinkWeight;addLink;0;68
C;modifyLinkWeight;addNode;0;72
C;modifyLinkWeight;removeNode;0;58
C;modifyLinkWeight;modifyLinkWeight;0;2120
C;modifyLinkWeight;activateLink;1;3925
C;modifyLinkWeight;inactivateLink;3;2100
C;modifyLinkWeight;handleLinkRemoval1;3;4034
C;modifyLinkWeight;handleLinkRemoval2;0;4007
C;activateLink;removeLink;0;10173
C;activateLink;addLink;0;125
C;activateLink;addNode;0;78
C;activateLink;removeNode;0;62
C;activateLink;modifyLinkWeight;1;2994
C;activateLink;activateLink;0;22648
C;activateLink;inactivateLink;1;11787
C;activateLink;handleLinkRemoval1;0;22789
C;activateLink;handleLinkRemoval2;0;23056
C;inactivateLink;removeLink;0;2901880
C;inactivateLink;addLink;0;3613
C;inactivateLink;addNode;0;799
C;inactivateLink;removeNode;0;499
C;inactivateLink;modifyLinkWeight;1;27056
C;inactivateLink;activateLink;1;42096928
C;inactivateLink;inactivateLink;4;67349112
C;inactivateLink;handleLinkRemoval1;4;229450442
C;inactivateLink;handleLinkRemoval2;4;112321134
C;handleLinkRemoval1;removeLink;0;3604409
C;handleLinkRemoval1;addLink;0;5289
C;handleLinkRemoval1;addNode;0;2014
C;handleLinkRemoval1;removeNode;0;1943
C;handleLinkRemoval1;modifyLinkWeight;0;109518
C;handleLinkRemoval1;activateLink;11;78926369
C;handleLinkRemoval1;inactivateLink;0;101613091
C;handleLinkRemoval1;handleLinkRemoval1;7;288244619
C;handleLinkRemoval1;handleLinkRemoval2;10;379898814
C;handleLinkRemoval2;removeLink;0;6603179
C;handleLinkRemoval2;addLink;0;9393
C;handleLinkRemoval2;addNode;0;6549
C;handleLinkRemoval2;removeNode;0;6462
C;handleLinkRemoval2;modifyLinkWeight;0;409015
C;handleLinkRemoval2;activateLink;11;215446427
C;removeLink;removeLink;0;1505
C;removeLink;addLink;0;108
C;removeLink;addNode;0;69
C;removeLink;removeNode;0;52
C;removeLink;modifyLinkWeight;1;440
C;removeLink;activateLink;1;953
C;removeLink;inactivateLink;2;887
C;removeLink;handleLinkRemoval1;3;910
C;removeLink;handleLinkRemoval2;3;839
C;addLink;removeLink;0;69
C;addLink;addLink;5;922
C;addLink;addNode;0;116
C;addLink;removeNode;2;1927
C;addLink;modifyLinkWeight;0;108
C;handleLinkRemoval2;inactivateLink;0;31964928
C;handleLinkRemoval2;handleLinkRemoval1;10;104641837
C;handleLinkRemoval2;handleLinkRemoval2;7;124542252
C;removeLink;findUnmarkedLink;1;733
C;addLink;findUnmarkedLink;0;89
C;addNode;findUnmarkedLink;0;56
C;removeNode;findUnmarkedLink;0;36
C;modifyLinkWeight;findUnmarkedLink;0;50
C;activateLink;findUnmarkedLink;1;311
C;inactivateLink;findUnmarkedLink;1;421
C;handleLinkRemoval1;findUnmarkedLink;0;84
C;handleLinkRemoval2;findUnmarkedLink;0;80
C;setSelf;findUnmarkedLink;0;311
C;unsetSelf;findUnmarkedLink;0;62
C;findUnmarkedLink;removeLink;0;40
C;findUnmarkedLink;addLink;0;39
C;findUnmarkedLink;addNode;0;39
C;findUnmarkedLink;removeNode;0;37
C;findUnmarkedLink;modifyLinkWeight;0;59
C;findUnmarkedLink;activateLink;0;54
C;findUnmarkedLink;inactivateLink;0;50
C;findUnmarkedLink;handleLinkRemoval1;0;68
C;findUnmarkedLink;handleLinkRemoval2;0;48
C;findUnmarkedLink;setSelf;0;35
C;findUnmarkedLink;unsetSelf;0;43
C;findUnmarkedLink;findUnmarkedLink;0;46
